v0,v1,v2,v3,ols_score
2884,-260.8266413,-135.2957327,3,6.630753331
2841,-323.336997,-59.26439172,3,6.358811924
2867,-175.2246872,-108.1581142,3,5.346523995
2761,-223.3452198,-39.06543436,5,5.095202126
2751,-283.4597973,325.3527419,6,4.786296771
2723,503.0101513,625.1471087,6,4.710468383
2907,-222.6926095,419.1992456,6,4.624453921
2669,322.6316384,-135.1001907,3,4.594600156
2795,-253.4632511,55.60427882,5,4.499340119
2598,120.9112292,-130.1301012,3,4.451713815
2745,821.4642617,515.4276544,5,4.394241992
2681,-266.0506196,88.3747452,5,4.387561103
2868,737.3210502,-144.8865977,0,4.27079296
2627,257.3160573,-108.4049986,3,4.196104717
2815,-231.0233714,115.8729087,3,3.9311981
2709,470.0532331,568.0314381,6,3.882113877
2591,859.5665888,453.3849857,7,3.859889092
2805,876.3304537,451.146524,2,3.787692887
2661,-46.57925192,-66.91209297,3,3.751188707
2571,795.8265646,-59.04216326,7,3.62617079
2923,867.2490281,437.8154424,4,3.600537633
2569,870.7997985,10.70955208,0,3.590810862
2895,-146.1311077,58.91947831,2,3.584051133
2703,811.5630037,-33.67618119,3,3.574714522
2592,896.457258,443.4924552,4,3.507924631
2896,-148.5228124,256.4727032,6,3.49436573
2633,675.6141656,475.9676059,4,3.472131622
2656,760.1988384,432.9542355,7,3.413545516
2837,-52.27337364,490.9347539,6,3.410964808
2578,840.9921916,418.3239479,7,3.393933454
2605,775.8483842,422.1090618,7,3.388071405
2670,-123.2693419,409.8982087,6,3.363403342
2666,623.8025442,-115.1369314,5,3.350497214
2642,-156.4438744,190.9939075,5,3.348706736
2879,-60.73987687,-35.04443111,3,3.329820694
2918,945.5573233,382.486012,7,3.3277547
2658,530.3924842,532.2527555,6,3.282530825
2851,1057.381435,292.5571388,7,3.271892753
2614,-125.9886327,229.1346311,2,3.263774915
2595,709.7266482,432.9716038,7,3.212681642
2790,553.8093297,-119.9931821,7,3.207824603
2882,903.0071343,394.708806,7,3.181176925
2840,377.9902346,523.5934772,2,3.163362119
2823,747.234021,401.1155619,7,3.162336792
2607,956.4945354,151.6610959,4,3.150711085
2688,385.1042613,-73.31821081,3,3.050197028
2800,817.0034385,200.9839308,7,3.032859005
2781,48.87493357,-68.81573839,3,3.027765035
2908,-67.07890021,8.412094623,3,2.983301894
2774,-108.1126009,216.5811661,5,2.977338687
2914,744.855302,-47.51896737,7,2.976275659
2830,781.4688269,365.3423181,2,2.96481619
2567,-110.1335226,103.7186371,3,2.963203685
2594,775.1557813,239.4170372,7,2.953968477
2929,830.4914594,169.4895234,7,2.942682083
2579,777.9458762,213.3995993,7,2.929986959
2813,492.7456128,-114.8712484,3,2.898073128
2602,446.208739,-90.30291252,3,2.893672803
2855,816.6906449,324.8177893,7,2.868934021
2792,784.573551,298.5914687,7,2.86806806
2722,134.0949093,-54.25506445,3,2.867581138
2646,786.5680801,193.518553,7,2.83799759
2887,748.2052508,227.9012318,7,2.837282155
2804,780.7046933,276.5049225,2,2.835354806
2603,-109.457102,334.6540252,6,2.832640809
2667,795.7078565,160.6412708,7,2.799015907
2577,765.3903648,194.9038828,7,2.787207703
2696,649.5698617,452.9384667,6,2.785580484
2797,733.5603208,276.3368411,2,2.770465966
2782,154.3464501,-49.80455407,3,2.767902802
2787,792.6451508,312.4692035,7,2.749098964
2845,794.6623548,351.7288941,6,2.739332075
2716,488.6372646,-94.94755754,3,2.71022747
2915,790.2005915,120.8813379,7,2.702928532
2852,-88.23852885,188.2283003,5,2.68623459
2706,377.019897,496.9430208,6,2.68303024
2587,739.7110591,196.0954802,4,2.663113328
2559,518.1989253,481.4876102,6,2.613851452
2809,770.882015,45.38735568,7,2.562798208
2854,279.201471,-25.16876416,3,2.550569971
2875,-77.7569612,121.6416703,6,2.507226091
2905,882.7279943,260.2704124,7,2.484846047
